97;360_1961_41x27LesPoireaux_PC;1961_41x27LesPoireaux_360.jpeg;360;1961;41X27;Les poireaux;paul;;
98;;1961_65x50Roseaux2_463.jpeg;463;1961;65X50;Roseaux;;;
99;;1961_65x50RoseauxGris469.jpeg;469;1961;65X50;Roseaux Gris;;;
100;;1961_100x50DurancMve575_coll_M_Allard.jpeg;575;1961;100X50;Durancmve;;;
101;701_1961_100X73_Nanou Dromard_PC;1961_nanou_2__701_cliche_paul.jpeg;701;1961;;Nanou;;;
102;;1961_100x73bourgogne_702_cliche_paul.jpeg;702;1961;100X73;Bourgogne;;;
103;;1961_100x73le_pavillon_703_cliche_paul.jpeg;703;1961;100X73;Le pavillon;;;
104;708_1961_100x73 les arbres_PC;1961_100x73_les_arbres_708_cliche_paul.jpeg;708;1961;100X73;Les Arbres;paul;;
105;;1961_roseaux_H_16x18_scan_paul_732.jpeg;732;1961;16X18;Roseaux;;;
106;;1961-16x18_roseaux_H_732_scan_paul.jpeg;732;1961;16X18;Roseaux;;;
107;;1961_les_chardons_H_17.5x19_scan_paul_735.jpeg;735;1961;175X19;Chardons;;;
108;;1961_les_chardons_2_H_16.5x13_scan_paul_736.jpeg;736;1961;165X13;Chardons;;;
109;;1961_Petit_bouquet__H_22x11_scan_paul_824.jpeg;824;1961;PETIT;Petit bouquet;;;
110;;1962_65x50L-etang442.jpeg;442;1962;65X50;L'étang;;;
111;;1962_65x50Cerisiers445.jpeg;445;1962;65X50;Cerisiers;;;
112;;1962_65x50Roseaux6_466.jpeg;466;1962;65X50;Roseaux;;;
113;513_1962_46x33Roseaux8_PC;1962_46x33Roseaux8_513.jpeg;513;1962;46X33;Roseaux;paul;;
114;;1962_100x73_bourgogne_3_704_cliche_paul.jpeg;704;1962;100X73;Bourgogne;;;
115;;1962_100x73_Village_Morvan_2_705_cliche_paul.jpeg;705;1962;100X7;Village Morvan;;;
116;;1962_100x73_village_morvan__706_cliche_paul.jpeg;706;1962;100X73;Village Morvan;;;
117;;1962_21x15_les_poires_H_821scan_paul.jpeg;821;1962;21X15;Les poires;;;
118;004_1963_65X50_Village-5_numéro ?;004_1963_65X50_Village-5.jpeg;4;1963;65X50;Village;?;;
119;054_1963_35X22_Bouchures;1963_35x22Bouchures_054as.jpeg;54;1963;35X22;Bouchures Blés;?;;
120;;1963_80x40LaBastide068as_COLL_J_ROUXEL.jpeg;68;1963;80X40;La Bastide;;;
121;;1963_65x50Autoportrait101as.jpeg;101;1963;65X50;Autoportrait;;;
122;340_1963_41x27LesBouchures_PC;1963_41x27LesBouchures_340.jpeg;340;1963;41X27;Les bouchures;paul;;
123;341_1963_35x22MerleMort_PC;1963_35x22MerleMort_341.jpeg;341;1963;35X22;Merle Mort;paul;;
